p1_x,p1_y,p2_x,p2_y,ball_x,ball_y,ball_vel_0,ball_vel_1,possession
0.109375,0.0625,0.515625,0.5,0.5140625,0.5104167,-1.0,0.0,1.0
0.109375,0.052083332,0.515625,0.5,0.5046875,0.5104167,-1.0,0.0,0.0
0.1015625,0.052083332,0.5078125,0.5,0.50625,0.5104167,-1.0,0.0,1.0
0.1015625,0.041666668,0.5078125,0.5,0.496875,0.5104167,-1.0,0.0,0.0
0.09375,0.041666668,0.5,0.5,0.4984375,0.5104167,-1.0,0.0,1.0
0.09375,0.03125,0.5,0.5,0.4890625,0.5104167,-1.0,0.0,0.0
0.0859375,0.03125,0.4921875,0.5,0.490625,0.5104167,-1.0,0.0,1.0
0.0859375,0.020833334,0.4921875,0.5,0.48125,0.5104167,-1.0,0.0,0.0
0.078125,0.020833334,0.484375,0.5,0.4828125,0.5104167,-1.0,0.0,1.0
0.078125,0.010416667,0.484375,0.5,0.4734375,0.5104167,-1.0,0.0,0.0
0.0703125,0.010416667,0.4765625,0.5,0.475,0.5104167,-1.0,0.0,1.0
0.0703125,0.0,0.4765625,0.5,0.465625,0.5104167,-1.0,0.0,0.0
0.0625,0.0,0.46875,0.5,0.4671875,0.5104167,-1.0,0.0,1.0
0.0546875,0.0,0.46875,0.5,0.4578125,0.5104167,-1.0,0.0,0.0
0.046875,0.0,0.4609375,0.5,0.459375,0.5104167,-1.0,0.0,1.0
0.0390625,0.0,0.4609375,0.5,0.45,0.5104167,-1.0,0.0,0.0
0.03125,0.0,0.453125,0.5,0.4515625,0.5104167,-1.0,0.0,1.0
0.0234375,0.0,0.453125,0.5,0.4421875,0.5104167,-1.0,0.0,0.0
0.015625,0.0,0.4453125,0.5,0.44375,0.5104167,-1.0,0.0,1.0
0.0078125,0.0,0.4453125,0.5,0.434375,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.4375,0.5,0.4359375,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.4375,0.5,0.4265625,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.4296875,0.5,0.428125,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.4296875,0.5,0.41875,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.421875,0.5,0.4203125,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.421875,0.5,0.4109375,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.4140625,0.5,0.4125,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.4140625,0.5,0.403125,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.40625,0.5,0.4046875,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.40625,0.5,0.3953125,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.3984375,0.5,0.396875,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.3984375,0.5,0.3875,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.390625,0.5,0.3890625,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.390625,0.5,0.3796875,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.3828125,0.5,0.38125,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.3828125,0.5,0.371875,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.375,0.5,0.3734375,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.375,0.5,0.3640625,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.3671875,0.5,0.365625,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.3671875,0.5,0.35625,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.359375,0.5,0.3578125,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.359375,0.5,0.3484375,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.3515625,0.5,0.35,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.3515625,0.5,0.340625,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.34375,0.5,0.3421875,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.34375,0.5,0.3328125,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.3359375,0.5,0.334375,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.3359375,0.5,0.325,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.328125,0.5,0.3265625,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.328125,0.5,0.3171875,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.3203125,0.5,0.31875,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.3203125,0.5,0.309375,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.3125,0.5,0.3109375,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.3125,0.5,0.3015625,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.3046875,0.5,0.303125,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.3046875,0.5,0.29375,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.296875,0.5,0.2953125,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.296875,0.5,0.2859375,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.2890625,0.5,0.2875,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.2890625,0.5,0.278125,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.28125,0.5,0.2796875,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.28125,0.5,0.2703125,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.2734375,0.5,0.271875,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.2734375,0.5,0.2625,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.265625,0.5,0.2640625,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.265625,0.5,0.2546875,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.2578125,0.5,0.25625,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.2578125,0.5,0.246875,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.25,0.5,0.2484375,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.25,0.5,0.2390625,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.2421875,0.5,0.240625,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.2421875,0.5,0.23125,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.234375,0.5,0.2328125,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.234375,0.5,0.2234375,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.2265625,0.5,0.225,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.2265625,0.5,0.215625,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.21875,0.5,0.2171875,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.21875,0.5,0.2078125,0.5104167,-1.0,0.0,0.0
0.0,0.0,0.2109375,0.5,0.209375,0.5104167,-1.0,0.0,1.0
0.0,0.0,0.2109375,0.5,0.2,0.5104167,-1.0,0.0,0.0
